Number,word,transliteration,abbreviation
41617,струя,struya,
41626,студент,student,
41637,стук,stuk,
41644,стул,stul,
41649,ступень,stupen,
41690,суббота,subbota,
41736,сугроб,sugrob,
41778,судья,sudya,
41833,сумка,sumka,
41848,сундук,sunduk,
41852,суп,sup,
41930,сухой,suhoy,
42022,сцена,stsena,
42099,сын,syn,
42107,сыпать,sypat,
42113,сыр,syr,
42159,таблетка,tabletka,
42162,табличка,tablichka,
42169,табуретка,taburetka,
42183,таз,taz,
42196,тайга,tayga,
42204,тайна,tayna,
42215,такси,taksi,
42243,талия,taliya,
42272,танец,tanets,
42275,танк,tank,
42295,тапочка,tapochka,
42310,тарелка,tarelka,
42349,таять,tayat,
42362,твёрдый,tvyordyy,
42375,творог,tvorog,
42381,театр,teatr,
42398,текст,tekst,
42418,телевизор,televizor,
42419,телега,telega,
42460,телескоп,teleskop,
42469,телефон,telefon,
42485,тело,telo,
42558,теннис,tennis,
42566,тень,ten,
42613,тёплый,tyoplyy,
42628,тёрка,tyorka,
42646,термос,termos,
42699,тесный,tesnyy,
42706,тесто,testo,
42725,тетрадь,tetrad,
42731,тётя,tyotya,
42762,течь,tech,
42771,тигр,tigr,
42817,тиски,tiski,
42838,тихий,tihiy,
42867,тлеть,tlet,
42913,толкать,tolkat,
42930,толпа,tolpa,
42948,толстый,tolstyy,
42961,томат,tomat,
42985,тонкий,tonkiy,
42992,тоннель,tonnel,
43001,топать,topat,
43023,тополь,topol,
43026,топор,topor,
43095,торт,tort,
43127,точка,tochka,
43141,трава,trava,
43190,трактор,traktor,
43195,трамвай,tramvay,
43322,тренер,trener,
43371,треугольник,treugolnik,
43409,трещина,treshchina,
43482,трон,tron,
43488,тропа,tropa,
43502,трость,trost,
43505,тротуар,trotuar,
43516,труба,truba,
43594,трясти,tryasti,
43628,туман,tuman,
43636,тумбочка,tumbochka,
43640,тундра,tundra,
43642,тунец,tunets,
43674,турист,turist,
43706,туфля,tuflya,
43740,тыква,tykva,
43759,тьма,tma,
43762,тюбик,tyubik,
43768,тюлень,tyulen,
43770,тюльпан,tyulpan,
43819,тяжёлый,tyazhyolyy,
43823,тянуть,tyanut,
44057,угол,ugol,
44131,удача,udacha,
44216,удочка,udochka,
44263,ужин,uzhin,
44273,узел,uzel,
44277,узкий,uzkiy,
44375,укроп,ukrop,
44391,уксус,uksus,
44408,улей,uley,
44418,улитка,ulitka,
44419,улица,ulitsa,
44441,улыбка,ulybka,
44530,умный,umnyy,
44804,урна,urna,
44933,успех,uspeh,
44835,усы,usy,
45087,утка,utka,
45141,утро,utro,
45152,утюг,utyug,
45183,ухо,uho,
45229,учёный,uchyonyy,
45239,учитель,uchitel,
45313,факел,fakel,
45348,фамилия,familiya,
45363,фанера,fanera,
45386,фара,fara,
